ITEM: TIMESTEP
15000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.4573366857295520e+00 6.1861463507472472e+01 5.5225504714569587e+00
1.2906956271741228e+00 8.7804850861747298e+01 4.7535763502863322e+00
-6.2691553259668564e-01 1.1362208153259830e+02 2.7163077488921520e+01
ITEM: ATOMS id mol type x y z ix iy iz 
354 10 2 2.84334 15.6428 57.7622 0 0 0 
355 10 2 3.72817 16.0123 55.5254 0 0 0 
356 10 2 4.60074 16.7407 53.2796 0 0 0 
357 10 2 4.33689 17.0502 51.0399 0 0 0 
358 10 2 2.10301 16.5269 49.8362 0 0 0 
359 10 2 53.3231 15.3516 51.1625 -1 0 0 
360 10 2 52.5422 14.4424 53.4003 -1 0 0 
361 11 1 5.95815 21.3223 71.8408 0 0 0 
362 11 1 4.88382 21.3313 72.6982 0 0 0 
363 11 1 4.96268 20.7971 73.9784 0 0 0 
364 11 1 3.87101 20.8474 74.8756 0 0 0 
365 11 1 4.082 20.3558 76.174 0 0 0 
366 11 1 2.98258 20.2301 77.024 0 0 0 
367 11 1 54.8009 20.7865 76.6008 -1 0 0 
368 11 1 54.6146 21.4128 75.3862 -1 0 0 
369 11 1 2.65538 21.4336 74.4795 0 0 0 
370 11 1 2.5071 21.9315 73.1655 0 0 0 
371 11 1 5.83984 21.7822 70.5286 0 0 0 
372 11 2 6.90836 20.9248 72.1977 0 0 0 
373 11 2 5.89352 20.2718 74.3148 0 0 0 
374 11 2 5.09491 20.0454 76.4528 0 0 0 
375 11 2 8.59418 79.0222 77.9362 0 -1 0 
376 11 2 53.9255 20.7143 77.246 -1 0 0 
377 11 2 53.607 21.8382 75.18 -1 0 0 
378 11 2 54.5951 22.4443 72.8971 -1 0 0 
379 11 1 3.51601 22.4623 70.9804 0 0 0 
380 11 1 4.6062 22.3436 70.0765 0 0 0 
381 11 1 4.54634 22.9911 68.8807 0 0 0 
382 11 1 5.64175 22.8701 67.9583 0 0 0 
383 11 1 5.57056 23.5292 66.7392 0 0 0 
384 11 1 6.71587 23.6529 65.93 0 0 0 
385 11 1 7.92344 23.0444 66.3069 0 0 0 
386 11 1 7.9488 22.2927 67.5059 0 0 0 
387 11 1 6.84683 22.258 68.3756 0 0 0 
388 11 1 6.9458 21.6985 69.6912 0 0 0 
389 11 1 3.67198 21.9459 72.2742 0 0 0 
390 11 2 2.72229 23.1172 70.7811 0 0 0 
391 11 2 3.63847 23.4949 68.679 0 0 0 
392 11 2 4.71036 24.0908 66.4173 0 0 0 
393 11 2 6.78065 24.0623 64.8911 0 0 0 
394 11 2 8.6814 23.024 65.581 0 0 0 
395 11 2 8.83424 21.7454 67.805 0 0 0 
396 11 2 7.99467 21.4259 70.0734 0 0 0 
397 12 1 58.3508 76.9991 71.2152 -1 -1 0 
398 12 1 58.6089 76.9071 72.5395 -1 -1 0 
399 12 1 57.6736 76.2426 73.3481 -1 -1 0 
400 12 1 57.903 76.025 74.6908 -1 -1 0 
401 12 1 56.9811 75.4011 75.5743 -1 -1 0 
402 12 1 57.2394 75.2639 76.9424 -1 -1 0 
403 12 1 58.4332 75.7436 77.4893 -1 -1 0 
404 12 1 59.2966 76.3879 76.6261 -1 -1 0 
405 12 1 59.0863 76.4854 75.2073 -1 -1 0 
406 12 1 60.0302 77.2059 74.4514 -1 -1 0 
407 12 1 53.8055 18.2325 70.3336 -1 0 0 
408 12 2 57.4183 76.5976 70.7997 -1 -1 0 
409 12 2 56.8095 75.8397 72.9212 -1 -1 0 
410 12 2 56.0051 75.0911 75.2224 -1 -1 0 
411 12 2 56.5152 74.7528 77.5642 -1 -1 0 
412 12 2 58.5506 75.6797 78.5602 -1 -1 0 
413 12 2 7.13104 76.8304 77.0828 0 -1 0 
414 12 2 7.89836 77.5001 74.9322 0 -1 0 
415 12 1 7.76878 77.8375 72.2806 0 -1 0 
416 12 1 1.9794 18.6445 70.8835 0 0 0 
417 12 1 2.98932 19.096 70.0318 0 0 0 
